goals:11,8;9,9;3,9;4,2;9,8;11,9;2,2;13,5;10,6;6,5;4,7;9,7;10,9;1,5;2,9;2,1;3,5;11,3;12,5;3,7;4,1;9,2;2,5;10,4;3,6;4,3;7,5;3,4;9,3;10,2;
room0:2,1;3,1;4,1;2,2;3,2;4,2;2,3;3,3;4,3;
1|pos:3,3;2,5;2,8;4,5;2,9;2,3;11,9;6,5;9,1;2,2;3,6;10,1;3,2;10,4;4,1;9,3;9,8;10,3;11,2;10,5;4,8;11,1;4,7;8,5;3,4;3,7;11,3;7,5;11,5;2,7;|pri:0.433333;0.0666667;0.0666667;0.166667;0.533333;0.5;0.533333;0.233333;0.2;0.233333;0.0666667;0.0333333;0.466667;0.333333;0.333333;0.5;0.366667;0.233333;0.2;0.3;0.3;0.1;0.133333;0.1;0.433333;0.166667;0.2;0.166667;0.133333;0.433333;|fires:0;agent:-1
2|pos:3,4;2,5;3,8;4,5;2,8;3,3;11,8;6,5;9,2;2,3;3,6;10,1;3,2;10,5;3,1;10,3;10,8;10,2;11,2;9,5;4,9;11,1;4,8;8,5;3,5;4,7;11,3;7,5;11,5;3,7;|pri:1.43333;1.06667;1.06667;1.16667;1.53333;1.5;1.53333;1.23333;1.2;1.23333;1.06667;1.03333;1.46667;1.33333;1.33333;1.5;1.36667;1.23333;1.2;1.3;1.3;1.1;1.13333;1.1;1.43333;1.16667;1.2;1.16667;1.13333;1.43333;|fires:0;agent:-1
3|pos:3,5;2,5;3,9;4,5;2,7;3,4;11,7;5,5;10,2;2,3;3,7;9,1;3,3;9,5;3,2;10,4;10,7;11,2;11,3;8,5;4,9;10,1;4,8;7,5;3,6;4,7;10,3;6,5;10,5;3,8;|pri:2.43333;2.06667;0.0666667;2.16667;2.53333;2.5;2.53333;2.23333;2.2;2.23333;2.06667;2.03333;2.46667;2.33333;2.33333;2.5;2.36667;2.23333;2.2;2.3;2.3;2.1;2.13333;2.1;0.433333;2.16667;2.2;2.16667;2.13333;2.43333;|fires:0;agent:-1
4|pos:2,5;1,5;2,9;4,5;3,7;3,5;10,7;5,5;10,2;2,3;3,8;9,2;3,4;9,5;3,3;10,5;10,6;11,3;10,3;8,5;4,9;9,1;4,8;7,5;3,6;4,7;10,4;6,5;11,5;3,9;|pri:3.43333;3.06667;1.06667;3.16667;3.53333;3.5;3.53333;3.23333;3.2;0.433333;3.06667;3.03333;3.33333;3.33333;3.23333;3.5;3.36667;0.233333;3.2;3.3;3.3;3.1;3.13333;3.1;3.46667;3.16667;3.2;3.16667;3.13333;3.43333;|fires:0;agent:-1
5|pos:2,5;1,5;2,9;5,5;3,6;4,5;10,8;6,5;10,3;2,3;4,8;9,3;3,4;10,5;3,3;10,6;10,7;11,2;11,3;9,5;3,9;9,2;4,7;8,5;3,5;3,7;10,4;7,5;11,5;3,8;|pri:4.43333;4.06667;2.06667;4.16667;4.53333;4.5;4.53333;4.23333;4.2;1.43333;4.06667;4.03333;4.33333;4.33333;4.23333;4.5;4.36667;1.23333;4.2;4.3;4.3;0.0999999;4.13333;4.1;4.46667;4.16667;4.2;4.16667;4.13333;4.43333;|fires:0;agent:-1
6|pos:2,5;1,5;3,9;5,5;3,5;4,5;10,7;6,5;10,3;2,3;4,8;9,3;3,3;11,5;4,3;10,5;10,6;11,2;11,3;9,5;3,8;9,2;4,7;8,5;3,4;3,6;10,4;7,5;12,5;3,7;|pri:5.43333;5.06667;0.0666666;5.16667;5.53333;5.5;5.36667;5.23333;5.2;2.43333;5.06667;5.03333;5.33333;5.3;5.23333;5.5;5.53333;2.23333;5.2;5.33333;5.3;0.0999999;5.13333;5.1;5.46667;5.16667;5.2;5.16667;5.13333;5.43333;|fires:0;agent:-1
7|pos:2,5;1,5;3,9;6,5;4,5;5,5;10,7;7,5;9,3;2,3;4,8;9,2;3,4;11,5;3,3;10,4;10,6;11,2;11,3;10,5;3,8;9,1;4,7;9,5;3,5;3,6;10,3;8,5;12,5;3,7;|pri:6.43333;6.06667;0.0666666;6.16667;6.53333;6.5;6.36667;6.23333;6.2;3.43333;6.06667;6.03333;6.33333;6.3;6.23333;6.5;6.53333;3.23333;6.2;6.33333;6.3;1.1;6.13333;6.1;6.46667;6.16667;6.2;6.16667;6.13333;6.43333;|fires:0;agent:-1
8|pos:2,5;1,5;3,9;5,5;3,5;4,5;10,6;6,5;10,3;2,2;4,8;9,3;3,3;11,5;2,3;10,4;10,5;10,2;11,2;9,5;3,8;9,2;4,7;8,5;3,4;3,6;11,3;7,5;12,5;3,7;|pri:7.43333;7.06667;0.0666666;7.16667;7.53333;7.5;7.36667;7.23333;7.2;4.43333;7.06667;7.03333;7.33333;7.3;7.23333;7.5;7.53333;4.23333;7.2;7.33333;7.3;0.0999999;7.13333;7.1;7.46667;7.16667;7.2;7.16667;7.13333;7.43333;|fires:0;agent:-1
9|pos:2,5;1,5;3,9;4,5;3,4;3,5;10,6;5,5;10,4;3,2;4,8;9,3;2,3;11,5;2,2;10,5;9,5;11,2;11,3;8,5;3,8;9,2;4,7;7,5;3,3;3,6;10,3;6,5;12,5;3,7;|pri:8.43333;8.06667;0.0666666;8.53333;8.46667;8.5;8.36667;8.23333;8.2;5.43333;8.06667;8.03333;8.16667;8.3;8.23333;8.5;8.53333;5.23333;8.2;8.33333;8.16667;0.0999999;8.13333;8.1;8.33333;8.3;8.2;8.16667;8.13333;8.43333;|fires:0;agent:-1
10|pos:2,5;1,5;3,9;3,5;3,4;3,6;10,5;4,5;10,4;3,1;4,9;9,3;2,3;11,5;3,2;9,5;8,5;11,2;11,3;7,5;3,8;9,2;4,8;6,5;3,3;3,7;10,3;5,5;12,5;4,7;|pri:9.43333;9.06667;0.0666666;9.53333;9.46667;9.23333;9.36667;9.5;9.2;6.43333;9.06667;9.03333;9.16667;9.3;9.23333;9.5;9.53333;6.23333;9.2;9.33333;9.16667;0.0999999;9.13333;9.1;9.33333;9.3;9.2;9.16667;9.13333;9.43333;|fires:0;agent:-1
