goals:8,4;12,4;1,1;1,7;5,3;3,3;4,1;1,6;5,1;5,7;2,7;6,4;12,5;11,4;6,1;3,2;9,4;6,7;11,5;3,6;4,4;7,4;2,4;10,3;2,3;6,6;1,4;2,5;3,4;10,4;3,7;10,5;6,2;4,7;4,5;
room0:10,3;11,3;12,3;10,4;11,4;12,4;10,5;11,5;12,5;
1|pos:1,6;7,4;4,3;5,5;12,3;9,4;6,7;11,3;3,6;2,6;5,4;1,5;5,2;6,2;2,7;6,3;4,5;5,1;3,7;4,2;11,4;10,4;4,7;2,1;6,5;1,2;5,6;10,5;1,1;4,1;10,3;11,5;3,2;1,4;2,3;|pri:0.257143;0.142857;0.142857;0.171429;0.257143;0.2;0.228571;0.371429;0.2;0.114286;0.171429;0.171429;0.285714;0.2;0.285714;0.114286;0.171429;0.2;0.342857;0.142857;0.2;0.0857143;0.171429;0.342857;0.171429;0.257143;0.142857;0.285714;0.142857;0.257143;0.314286;0.0285714;0.0857143;0.171429;0.114286;|fires:0;agent:-1
2|pos:2,6;7,4;3,3;4,5;12,4;8,4;5,7;10,3;3,5;2,7;5,5;1,4;6,2;6,3;3,7;5,3;4,4;6,1;4,7;4,3;11,4;9,4;4,6;2,2;6,4;1,3;5,6;10,5;1,2;5,1;10,4;11,5;4,2;2,4;2,3;|pri:1.25714;1.14286;1.14286;1.17143;1.25714;1.2;1.22857;1.37143;1.2;1.11429;1.17143;1.17143;1.28571;1.2;1.28571;1.11429;1.17143;1.2;1.34286;1.14286;1.2;1.08571;1.17143;1.34286;1.17143;1.25714;1.14286;1.28571;1.14286;1.25714;1.31429;1.02857;1.08571;1.17143;1.11429;|fires:0;agent:-1
3|pos:2,5;6,4;3,3;4,5;11,4;7,4;5,6;10,4;3,5;3,7;6,5;2,4;6,3;5,3;4,7;4,3;3,4;6,2;4,6;4,4;11,5;8,4;3,6;3,2;5,4;1,4;5,5;10,5;1,3;5,2;9,4;12,5;4,2;2,3;2,2;|pri:2.25714;2.14286;2.14286;2.17143;2.25714;2.28571;2.28571;2.37143;2.2;2.11429;2.17143;2.17143;2.2;2.2;2.22857;2.11429;2.17143;2.2;2.34286;2.14286;2.2;2.08571;2.17143;2.34286;2.17143;2.25714;2.14286;2.28571;2.14286;2.25714;2.31429;2.02857;2.08571;2.17143;2.11429;|fires:0;agent:-1
4|pos:1,5;6,5;2,3;4,6;11,4;6,4;5,7;9,4;2,5;3,7;5,5;3,4;6,3;4,3;4,7;4,2;3,5;6,2;5,6;4,5;10,5;7,4;2,6;3,3;4,4;1,4;5,4;10,4;1,3;5,3;8,4;11,5;5,2;2,4;3,2;|pri:3.25714;0.0857143;3.14286;3.17143;3.25714;3.28571;3.28571;3.37143;3.2;3.11429;3.17143;3.17143;3.2;3.2;3.22857;3.11429;3.17143;3.2;3.34286;3.14286;3.2;3.14286;3.17143;3.34286;3.17143;3.25714;3.14286;3.28571;3.14286;3.25714;3.31429;3.02857;3.08571;3.17143;3.11429;|fires:0;agent:-1
5|pos:2,5;6,5;2,2;3,6;10,4;6,3;5,6;8,4;2,4;4,7;5,5;3,5;5,3;4,2;5,7;3,2;4,5;6,2;6,6;4,6;10,5;6,4;2,6;3,4;4,3;1,5;4,4;9,4;2,3;5,4;7,4;11,5;5,2;1,4;3,3;|pri:4.25714;1.08571;4.14286;4.17143;4.25714;4.28571;4.28571;4.37143;4.2;4.11429;4.17143;4.17143;4.2;4.2;4.22857;0.114286;4.17143;4.2;4.14286;4.14286;4.2;4.34286;4.17143;4.34286;4.17143;4.25714;4.14286;4.28571;4.14286;4.25714;4.31429;4.02857;4.08571;4.17143;4.11429;|fires:0;agent:-1
6|pos:1,5;5,5;1,2;2,6;9,4;6,2;4,6;7,4;2,3;5,7;4,5;3,5;6,3;5,2;5,6;3,2;4,4;6,1;6,6;3,6;10,4;6,5;2,5;2,4;5,3;1,6;3,4;8,4;3,3;5,4;6,4;10,5;5,1;1,4;4,3;|pri:5.25714;2.08571;5.14286;5.17143;5.25714;5.28571;5.28571;5.37143;5.2;0.114285;5.17143;5.17143;5.2;5.2;5.22857;0.114286;5.17143;5.2;5.14286;0.142857;5.2;5.34286;5.17143;5.34286;5.17143;5.25714;5.14286;5.28571;5.14286;5.25714;5.31429;0.0285716;5.08571;5.17143;5.11429;|fires:0;agent:-1
7|pos:2,5;5,5;1,1;2,7;8,4;5,2;4,7;6,4;3,3;5,7;4,6;4,5;6,3;5,1;6,6;4,2;3,4;6,2;6,7;3,6;9,4;6,5;3,5;1,4;4,3;2,6;2,4;7,4;3,2;5,3;5,4;10,5;6,1;1,5;4,4;|pri:6.25714;3.08571;0.142857;6.17143;6.2;6.28571;6.17143;6.37143;6.2;0.114285;6.25714;6.28571;6.28571;6.2;6.22857;1.11429;6.17143;6.2;6.14286;0.142857;6.2;6.34286;6.17143;6.34286;6.17143;6.17143;6.14286;6.25714;6.14286;6.25714;6.31429;0.0285716;6.08571;6.17143;6.11429;|fires:0;agent:-1
8|pos:3,5;5,4;1,1;1,7;8,4;4,2;4,7;6,5;4,3;5,7;3,6;4,6;6,4;5,2;6,6;3,2;3,3;6,2;6,7;3,7;9,4;5,5;3,4;2,4;5,3;2,6;2,5;7,4;3,1;6,3;4,4;10,5;6,1;1,6;4,5;|pri:7.25714;7.25714;0.142857;0.171429;7.2;7.28571;7.17143;7.37143;7.2;0.114285;7.25714;7.28571;7.28571;7.2;7.22857;0.114286;7.17143;7.2;7.14286;1.14286;7.2;7.34286;7.17143;7.34286;7.17143;7.17143;7.14286;7.25714;7.14286;4.08571;7.31429;0.0285716;7.08571;7.17143;0.114285;|fires:0;agent:-1
9|pos:2,5;6,4;1,1;1,7;9,4;3,2;4,7;6,6;4,2;5,7;3,7;4,6;7,4;6,2;5,6;2,2;4,3;6,1;6,7;2,7;10,4;5,4;3,3;3,4;5,3;3,6;2,4;8,4;3,1;6,3;4,5;10,5;5,1;2,6;3,5;|pri:8.25714;8.25714;0.142857;0.171429;8.2;8.28571;8.17143;8.37143;8.2;0.114285;8.25714;8.28571;8.28571;8.2;8.22857;1.11429;8.17143;8.2;8.14286;2.14286;8.2;8.34286;8.17143;8.34286;8.17143;8.17143;8.14286;8.25714;8.14286;5.08571;8.31429;0.0285716;8.08571;8.17143;1.11429;|fires:0;agent:-1
10|pos:2,4;7,4;1,1;1,7;10,4;3,3;5,7;5,6;4,1;6,7;4,7;3,6;8,4;6,3;5,5;2,2;4,2;6,2;6,6;3,7;10,5;6,4;2,3;4,4;4,3;2,6;1,4;9,4;3,2;5,3;4,6;11,5;5,2;2,7;4,5;|pri:9.25714;9.25714;0.142857;0.171429;9.2;0.285714;9.17143;9.37143;9.2;1.11429;9.25714;9.28571;9.28571;9.2;9.22857;2.11429;9.17143;9.2;9.14286;3.14286;9.2;9.34286;9.17143;9.34286;9.17143;9.17143;0.142857;9.25714;9.14286;6.08571;9.31429;1.02857;9.08571;9.17143;0.114285;|fires:0;agent:-1
