map,N,seed,pure,swap,cnt,cnt_fires,cnt_time
four_rooms,15,0,1,1,1,0,.005628219
four_rooms,15,1,1,1,1,0,.006728220
four_rooms,15,2,1,1,1,0,.005357150
four_rooms,15,3,1,1,1,0,.004924133
four_rooms,15,4,1,1,1,0,.004134191
four_rooms,15,5,1,1,1,0,.004458432
four_rooms,15,6,1,1,1,0,.004258208
four_rooms,15,7,1,1,1,0,.004346056
four_rooms,15,8,1,1,1,0,.004185079
four_rooms,15,9,1,1,1,0,.004413840
four_rooms,15,10,1,1,1,0,.004614306
four_rooms,15,11,1,1,1,0,.004306494
four_rooms,15,12,1,1,1,0,.004374836
four_rooms,15,13,1,1,1,0,.006154503
four_rooms,15,14,1,1,1,0,.005714805
four_rooms,15,15,1,1,1,0,.004879427
four_rooms,15,16,1,1,1,0,.004455934
four_rooms,15,17,1,1,1,0,.004453803
four_rooms,15,18,1,1,1,0,.004580404
four_rooms,15,19,1,1,1,0,.004803703
four_rooms,15,20,1,1,1,0,.004727381
four_rooms,15,21,1,1,1,0,.004469041
four_rooms,15,22,1,1,1,0,.004240109
four_rooms,15,23,1,1,1,0,.004596081
four_rooms,15,24,1,1,1,0,.005262085
four_rooms,15,25,1,1,1,0,.006045978
four_rooms,15,26,1,1,1,0,.007240424
four_rooms,15,27,1,1,1,0,.006206658
four_rooms,15,28,1,1,1,0,.006357349
four_rooms,15,29,1,1,1,0,.005411415
four_rooms,20,0,1,1,1,0,.006499812
four_rooms,20,1,1,1,1,1,.006373614
four_rooms,20,2,1,1,1,0,.007173087
four_rooms,20,3,1,1,1,0,.006366359
four_rooms,20,4,1,1,1,0,.007022645
four_rooms,20,5,1,1,1,0,.006130334
four_rooms,20,6,1,1,1,1,.005249486
four_rooms,20,7,1,1,1,0,.005597628
four_rooms,20,8,1,1,1,0,.004718788
four_rooms,20,9,1,0,1,4,.004655601
four_rooms,20,10,0,1,1,0,.005518891
four_rooms,20,11,0,1,1,1,.005355803
four_rooms,20,12,1,1,1,0,.004286945
four_rooms,20,13,1,1,1,0,.005230201
four_rooms,20,14,0,1,1,0,.005827089
four_rooms,20,15,1,1,1,0,.007499949
four_rooms,20,16,1,1,1,0,.005049219
four_rooms,20,17,1,1,1,1,.005468797
four_rooms,20,18,1,1,1,0,.006876197
four_rooms,20,19,1,1,1,0,.007992938
four_rooms,20,20,1,1,1,0,.005944091
four_rooms,20,21,1,1,1,0,.005231530
four_rooms,20,22,1,1,1,2,.005174069
four_rooms,20,23,1,1,1,0,.004963697
four_rooms,20,24,1,0,0,0,.025749883
four_rooms,20,25,1,1,1,1,.004993183
four_rooms,20,26,1,1,1,0,.007302842
four_rooms,20,27,1,1,1,1,.005715901
four_rooms,20,28,1,1,1,0,.004669373
four_rooms,20,29,1,1,1,0,.004721512
four_rooms,25,0,1,1,1,0,.005552104
four_rooms,25,1,0,1,1,5,.005932372
four_rooms,25,2,0,1,1,1,.005446985
four_rooms,25,3,0,0,1,1,.005434486
four_rooms,25,4,1,1,1,1,.006318283
four_rooms,25,5,1,1,1,1,.005326521
four_rooms,25,6,1,1,1,2,.004847342
four_rooms,25,7,1,1,1,0,.005645584
four_rooms,25,8,1,1,1,2,.005543739
four_rooms,25,9,0,1,1,4,.007191515
four_rooms,25,10,1,1,1,0,.005688204
four_rooms,25,11,0,1,1,0,.005773765
four_rooms,25,12,0,0,0,5,.005622270
four_rooms,25,13,1,1,1,0,.006354694
four_rooms,25,14,1,1,1,0,.005782917
four_rooms,25,15,1,0,1,4,.007584675
four_rooms,25,16,0,1,1,0,.006354945
four_rooms,25,17,1,1,1,0,.004905847
four_rooms,25,18,0,1,1,0,.006079230
four_rooms,25,19,1,1,1,0,.007290436
four_rooms,25,20,0,0,1,6,.008201407
four_rooms,25,21,1,1,1,0,.007573578
four_rooms,25,22,0,1,1,1,.007282278
four_rooms,25,23,1,1,1,0,.005979523
four_rooms,25,24,0,1,1,2,.007828266
four_rooms,25,25,0,0,1,11,.007563790
four_rooms,25,26,0,0,1,3,.006876404
four_rooms,25,27,0,1,1,1,.006490530
four_rooms,25,28,0,1,1,4,.005632781
four_rooms,25,29,1,1,1,0,.005349223
four_rooms,30,0,0,0,1,2,.007417221
four_rooms,30,1,0,0,1,9,.006708865
four_rooms,30,2,1,0,0,3,.037066069
four_rooms,30,3,0,0,1,6,.006589504
four_rooms,30,4,1,1,1,0,.006795921
four_rooms,30,5,0,0,1,4,.006026606
four_rooms,30,6,1,1,1,4,.009532105
four_rooms,30,7,0,1,0,4,.042515707
four_rooms,30,8,0,0,0,10,.035952818
four_rooms,30,9,0,1,1,4,.007052720
four_rooms,30,10,0,0,1,7,.006481578
four_rooms,30,11,0,0,0,3,.037117803
four_rooms,30,12,0,0,1,9,.009370260
four_rooms,30,13,0,0,0,5,.043707886
four_rooms,30,14,0,0,0,16,.010425567
four_rooms,30,15,0,1,1,1,.007207004
four_rooms,30,16,0,0,1,5,.009978504
four_rooms,30,17,0,0,0,7,.039503547
four_rooms,30,18,0,1,0,7,.038265492
four_rooms,30,19,0,0,1,5,.007596114
four_rooms,30,20,0,0,1,6,.007695408
four_rooms,30,21,1,1,1,2,.008689827
four_rooms,30,22,1,1,1,4,.006642633
four_rooms,30,23,0,1,1,2,.006129537
four_rooms,30,24,0,0,1,26,.010342671
four_rooms,30,25,0,0,0,3,.005587951
four_rooms,30,26,0,1,1,5,.006180423
four_rooms,30,27,0,1,1,11,.006493807
four_rooms,30,28,0,1,1,5,.005913260
four_rooms,30,29,0,0,1,4,.007423799
four_rooms,35,0,0,0,0,6,.007232695
four_rooms,35,1,0,0,0,3,.006465062
four_rooms,35,2,0,0,0,7,.045020234
four_rooms,35,3,0,0,0,5,.041999064
four_rooms,35,4,0,1,0,7,.041582738
four_rooms,35,5,0,0,1,9,.009243336
four_rooms,35,6,0,0,0,2,.005735244
four_rooms,35,7,0,0,0,2,.006166844
four_rooms,35,8,0,0,1,12,.012760247
four_rooms,35,9,0,0,1,7,.007762862
four_rooms,35,10,0,0,0,1,.044568648
four_rooms,35,11,0,0,0,2,.046439161
