map,N,seed,pure,swap,cnt,cnt_fires,cnt_time
four_rooms,15,0,1,1,1,0,.007288823
four_rooms,15,1,1,1,1,0,.005005488
four_rooms,15,2,1,1,1,0,.004185456
four_rooms,15,3,1,1,1,0,.004027106
four_rooms,15,4,1,1,1,0,.003925036
four_rooms,15,5,1,1,1,0,.004141454
four_rooms,15,6,1,1,1,0,.004010359
four_rooms,15,7,1,1,1,0,.004299478
four_rooms,15,8,1,1,1,0,.004307313
four_rooms,15,9,1,1,1,0,.004880480
four_rooms,15,10,1,1,1,0,.005233521
four_rooms,15,11,1,1,1,0,.004226789
four_rooms,15,12,1,1,1,0,.004076410
four_rooms,15,13,1,1,1,0,.004341451
four_rooms,15,14,1,1,1,0,.004560851
four_rooms,15,15,1,1,1,0,.004149052
four_rooms,15,16,1,1,1,0,.004169921
four_rooms,15,17,1,1,1,0,.004060774
four_rooms,15,18,1,1,1,0,.004762532
four_rooms,15,19,1,1,1,0,.005026716
four_rooms,15,20,1,1,1,0,.004834931
four_rooms,15,21,1,1,1,0,.004672446
four_rooms,15,22,1,1,1,0,.004813962
four_rooms,15,23,1,1,1,0,.004570756
four_rooms,15,24,1,1,1,0,.004058185
four_rooms,15,25,1,1,1,0,.004414316
four_rooms,15,26,1,1,1,0,.005981101
four_rooms,15,27,1,1,1,0,.004418305
four_rooms,15,28,1,1,1,0,.004324250
four_rooms,15,29,1,1,1,0,.004397689
four_rooms,20,0,1,1,1,0,.005689819
four_rooms,20,1,1,1,1,0,.006462711
four_rooms,20,2,1,1,1,0,.004754005
four_rooms,20,3,1,1,1,0,.004573020
four_rooms,20,4,1,1,1,0,.004604642
four_rooms,20,5,1,1,1,0,.004513360
four_rooms,20,6,1,1,1,0,.004608200
four_rooms,20,7,1,1,1,2,.004899470
four_rooms,20,8,1,1,1,0,.004385888
four_rooms,20,9,1,0,1,2,.004356212
four_rooms,20,10,0,1,1,0,.004817162
four_rooms,20,11,0,1,1,1,.004655982
four_rooms,20,12,1,1,1,0,.004262642
four_rooms,20,13,1,1,1,0,.005590498
four_rooms,20,14,0,1,1,0,.004671923
four_rooms,20,15,1,1,1,0,.005062200
four_rooms,20,16,1,1,1,0,.004457253
four_rooms,20,17,1,1,1,0,.004363029
four_rooms,20,18,1,1,1,0,.004626701
four_rooms,20,19,1,1,1,0,.005034920
four_rooms,20,20,1,1,1,0,.004802045
four_rooms,20,21,1,1,1,0,.005163486
four_rooms,20,22,1,1,1,1,.004343081
four_rooms,20,23,1,1,1,0,.005011194
four_rooms,20,24,1,0,1,1,.005934283
four_rooms,20,25,1,1,1,1,.005926951
four_rooms,20,26,1,1,1,0,.006110839
four_rooms,20,27,1,1,1,1,.005505537
four_rooms,20,28,1,1,1,0,.005885151
four_rooms,20,29,1,1,1,0,.004908320
four_rooms,25,0,1,1,1,0,.005439968
four_rooms,25,1,0,1,1,2,.005564628
four_rooms,25,2,0,1,1,1,.005877066
four_rooms,25,3,0,0,1,3,.005608712
four_rooms,25,4,1,1,1,1,.004973247
four_rooms,25,5,1,1,1,1,.005648665
four_rooms,25,6,1,1,1,5,.004892229
four_rooms,25,7,1,1,1,0,.004925053
four_rooms,25,8,1,1,1,2,.005231658
four_rooms,25,9,0,1,1,2,.004773304
