map,N,seed,pure,swap,cnt,cnt_fires,cnt_time
four_rooms,15,0,1,1,1,0,.007763758
four_rooms,15,1,1,1,1,0,.005147418
four_rooms,15,2,1,1,1,0,.004568911
four_rooms,15,3,1,1,1,0,.004214157
four_rooms,15,4,1,1,1,0,.004055729
four_rooms,15,5,1,1,1,0,.004353810
four_rooms,15,6,1,1,1,0,.004500206
four_rooms,15,7,1,1,1,0,.005052189
four_rooms,15,8,1,1,1,0,.004242957
four_rooms,15,9,1,1,1,0,.005016262
four_rooms,15,10,1,1,1,0,.005252043
four_rooms,15,11,1,1,1,0,.004169005
four_rooms,15,12,1,1,1,0,.004307236
four_rooms,15,13,1,1,1,0,.004605195
four_rooms,15,14,1,1,1,0,.004574563
four_rooms,15,15,1,1,1,0,.004621060
four_rooms,15,16,1,1,1,0,.004450457
four_rooms,15,17,1,1,1,0,.004090666
four_rooms,15,18,1,1,1,0,.004410955
four_rooms,15,19,1,1,1,0,.006855828
four_rooms,15,20,1,1,1,0,.006412448
four_rooms,15,21,1,1,1,0,.005117002
four_rooms,15,22,1,1,1,0,.004399185
four_rooms,15,23,1,1,1,0,.004142938
four_rooms,15,24,1,1,1,0,.006982164
four_rooms,15,25,1,1,1,0,.005710602
four_rooms,15,26,1,1,1,0,.005545898
four_rooms,15,27,1,1,1,0,.004628140
four_rooms,15,28,1,1,1,0,.004106039
four_rooms,15,29,1,1,1,0,.004103340
four_rooms,20,0,1,1,1,0,.004779546
four_rooms,20,1,1,1,1,0,.005451497
four_rooms,20,2,1,1,1,0,.004876396
four_rooms,20,3,1,1,1,0,.004570358
four_rooms,20,4,1,1,1,0,.004343943
four_rooms,20,5,1,1,1,0,.004483568
four_rooms,20,6,1,1,1,0,.004429202
four_rooms,20,7,1,1,1,2,.005010065
four_rooms,20,8,1,1,1,0,.004783093
four_rooms,20,9,1,0,1,2,.004972953
four_rooms,20,10,0,1,1,0,.005268786
four_rooms,20,11,0,1,1,1,.005037135
four_rooms,20,12,1,1,1,0,.005346955
four_rooms,20,13,1,1,1,0,.005465029
four_rooms,20,14,1,1,1,0,.006676195
four_rooms,20,15,1,1,1,0,.006397609
four_rooms,20,16,1,1,1,0,.005883900
four_rooms,20,17,1,1,1,0,.005792551
four_rooms,20,18,1,1,1,0,.006088784
four_rooms,20,19,1,1,1,0,.005495981
four_rooms,20,20,1,1,1,0,.005386725
four_rooms,20,21,1,1,1,0,.005115719
four_rooms,20,22,1,1,1,1,.004980443
four_rooms,20,23,1,1,1,0,.004776913
four_rooms,20,24,1,0,1,1,.040136765
four_rooms,20,25,1,1,1,1,.004978777
four_rooms,20,26,1,1,1,0,.005389039
four_rooms,20,27,1,1,1,1,.004426241
four_rooms,20,28,1,1,1,0,.004577439
four_rooms,20,29,1,1,1,0,.004783441
four_rooms,25,0,1,1,1,0,.005443057
four_rooms,25,1,0,1,1,2,.005548504
four_rooms,25,2,0,1,1,1,.005910297
four_rooms,25,3,0,0,1,3,.005867458
four_rooms,25,4,1,1,1,1,.005685448
four_rooms,25,5,1,1,1,1,.005700979
four_rooms,25,6,1,1,1,5,.005482566
four_rooms,25,7,1,1,1,0,.004988429
four_rooms,25,8,1,1,1,2,.005638083
four_rooms,25,9,0,1,1,2,.005889762
four_rooms,25,10,1,1,1,0,.006528633
four_rooms,25,11,0,1,1,2,.009030759
four_rooms,25,12,0,0,1,34,.008166732
four_rooms,25,13,1,1,1,0,.005809017
four_rooms,25,14,1,1,1,2,.005113112
four_rooms,25,15,1,0,1,20,.005323194
four_rooms,25,16,0,1,1,0,.004836970
four_rooms,25,17,1,1,1,0,.004917209
four_rooms,25,18,0,1,1,1,.005837704
four_rooms,25,19,1,1,1,0,.008986556
four_rooms,25,20,0,0,0,1,.005705835
four_rooms,25,21,1,1,1,0,.006563538
four_rooms,25,22,0,1,1,0,.006827552
four_rooms,25,23,1,1,1,0,.005986971
four_rooms,25,24,0,1,1,1,.008030198
four_rooms,25,25,0,0,0,1,.006353833
four_rooms,25,26,0,0,0,2,.006265476
four_rooms,25,27,0,1,1,1,.007004833
four_rooms,25,28,0,1,1,3,.006655410
four_rooms,25,29,1,1,1,0,.006461424
four_rooms,30,0,0,0,1,3,.069468825
four_rooms,30,1,0,0,0,133,.011307284
four_rooms,30,2,1,0,1,2,.038775081
four_rooms,30,3,0,0,0,3,.009984759
four_rooms,30,4,1,1,1,6,.006724560
four_rooms,30,5,0,0,1,3,.028883353
four_rooms,30,6,1,1,1,8,.005430204
four_rooms,30,7,0,1,1,51,.008431309
four_rooms,30,8,0,0,0,10,.009998912
four_rooms,30,9,0,1,1,4,.007882791
four_rooms,30,10,0,0,1,3,.021047459
four_rooms,30,11,0,0,0,2,.024976269
four_rooms,30,12,0,0,0,1,.005481109
four_rooms,30,13,0,0,1,5,.007757684
four_rooms,30,14,0,0,0,8,.025324814
four_rooms,30,15,0,1,0,4,.009504049
four_rooms,30,16,0,0,1,5,.005513960
four_rooms,30,17,0,0,1,4,.006943748
four_rooms,30,18,0,1,1,5,.008393178
four_rooms,30,19,0,0,1,6,.007115883
four_rooms,30,20,0,0,0,4,.006281333
four_rooms,30,21,1,1,1,3,.008868559
four_rooms,30,22,1,1,1,5,.006487143
four_rooms,30,23,0,1,1,3,.006344917
four_rooms,30,24,0,0,0,1,.006403226
four_rooms,30,25,0,0,0,2,.006282815
four_rooms,30,26,0,1,0,3,.010692746
four_rooms,30,27,0,1,0,29,.011341902
four_rooms,30,28,0,1,1,3,.006487040
four_rooms,30,29,0,0,1,5,.007178402
four_rooms,35,0,0,0,0,2,.006155803
four_rooms,35,1,0,0,0,5,.096153653
four_rooms,35,2,0,0,1,16,.147875784
four_rooms,35,3,0,0,1,17,.039109999
four_rooms,35,4,0,1,0,43,.014484312
four_rooms,35,5,0,0,0,19,.073289480
four_rooms,35,6,0,0,0,3,.025119337
four_rooms,35,7,0,0,0,5,.008693829
four_rooms,35,8,0,0,0,12,.014189072
four_rooms,35,9,0,0,0,2,.009832896
four_rooms,35,10,0,0,0,2,.123605379
four_rooms,35,11,0,0,0,2,.009450248
four_rooms,35,12,0,0,0,12,.011527113
four_rooms,35,13,0,1,0,3,.014552816
four_rooms,35,14,0,0,0,18,.013793051
four_rooms,35,15,0,1,0,126,.015640736
four_rooms,35,16,0,0,0,3,.008015580
four_rooms,35,17,0,0,1,46,.079627377
four_rooms,35,18,0,0,0,15,.092541432
four_rooms,35,19,0,0,1,26,.010702818
four_rooms,35,20,0,0,0,4,.008018189
four_rooms,35,21,1,1,0,3,.008918576
four_rooms,35,22,0,1,0,6,.012400690
four_rooms,35,23,0,0,1,33,.010747546
four_rooms,35,24,0,0,0,2,.009352458
four_rooms,35,25,0,0,0,2,.007097952
four_rooms,35,26,0,0,1,19,.009483008
four_rooms,35,27,0,0,0,5,.061189659
four_rooms,35,28,0,0,0,7,.012659110
four_rooms,35,29,0,1,0,4,.013953330
four_rooms,40,0,0,0,0,3,.007653909
four_rooms,40,1,0,0,0,3,.015112795
four_rooms,40,2,0,0,0,5,.061249537
four_rooms,40,3,0,0,0,13,.013373665
four_rooms,40,4,0,0,0,61,.016691834
four_rooms,40,5,0,0,0,17,.011940998
four_rooms,40,6,0,0,0,78,.075264535
four_rooms,40,7,0,0,0,28,.014349731
four_rooms,40,8,0,0,0,11,.026286917
four_rooms,40,9,0,0,0,2,.009939222
four_rooms,40,10,0,0,0,2,.023989148
four_rooms,40,11,0,0,0,39,.096157903
four_rooms,40,12,0,0,0,64,.019965684
four_rooms,40,13,0,0,0,2,.100691055
four_rooms,40,14,0,0,0,15,.015970565
four_rooms,40,15,0,0,0,4,.091147858
four_rooms,40,16,0,0,0,5,.008998064
four_rooms,40,17,0,0,0,14,.043891911
four_rooms,40,18,0,0,0,81,.037723618
four_rooms,40,19,0,0,0,2,.008593651
four_rooms,40,20,0,0,0,6,.008508908
four_rooms,40,21,0,0,0,147,.076260569
four_rooms,40,22,0,0,0,40,.076370444
four_rooms,40,23,0,0,0,8,.057039326
four_rooms,40,24,0,0,0,3,.009774844
four_rooms,40,25,0,0,0,3,.012617230
four_rooms,40,26,0,0,0,3,.009907032
four_rooms,40,27,0,0,0,23,.018006347
four_rooms,40,28,0,0,0,9,.015671544
four_rooms,40,29,0,0,0,22,.085490195
roomfull,15,0,0,1,1,1,.005373485
roomfull,15,1,0,0,1,12,.006677549
roomfull,15,2,1,1,1,0,.004851435
roomfull,15,3,1,1,1,0,.005129320
roomfull,15,4,0,0,1,1,.007116665
roomfull,15,5,1,1,1,0,.007101046
roomfull,15,6,1,1,1,0,.005081904
roomfull,15,7,1,1,1,0,.005340374
roomfull,15,8,1,1,1,0,.004649823
roomfull,15,9,1,1,1,0,.005448066
roomfull,15,10,1,1,1,0,.004331326
roomfull,15,11,1,1,1,0,.004448202
roomfull,15,12,1,1,1,0,.004428738
roomfull,15,13,1,1,1,0,.004723847
roomfull,15,14,1,1,1,0,.007357582
roomfull,15,15,1,1,1,0,.005235371
roomfull,15,16,1,1,1,0,.005124287
roomfull,15,17,1,1,1,0,.005508094
roomfull,15,18,1,1,1,0,.006531610
roomfull,15,19,1,1,1,0,.005372507
roomfull,15,20,1,1,1,0,.004793085
roomfull,15,21,1,1,1,0,.005608819
roomfull,15,22,1,1,1,0,.005939722
roomfull,15,23,1,1,1,0,.004922767
roomfull,15,24,1,1,1,0,.004769914
roomfull,15,25,1,1,1,0,.005597543
roomfull,15,26,1,1,1,0,.006594094
roomfull,15,27,1,1,1,0,.005233313
roomfull,15,28,1,1,1,0,.004986686
roomfull,15,29,1,1,1,0,.005443138
roomfull,20,0,0,0,0,1,.005667384
roomfull,20,1,0,0,1,20,.007483670
roomfull,20,2,1,1,1,1,.005804316
roomfull,20,3,1,1,1,0,.004884152
roomfull,20,4,1,1,1,0,.004544070
roomfull,20,5,1,1,1,0,.008077855
roomfull,20,6,1,1,1,0,.005086425
roomfull,20,7,0,1,1,1,.005334672
roomfull,20,8,1,1,1,0,.004927942
roomfull,20,9,1,1,1,0,.005281897
roomfull,20,10,1,1,1,0,.004850525
roomfull,20,11,1,1,1,0,.006455222
roomfull,20,12,1,1,1,0,.005025783
roomfull,20,13,1,1,1,0,.005048010
roomfull,20,14,1,1,1,0,.006067857
roomfull,20,15,0,1,1,1,.005905187
roomfull,20,16,0,1,1,1,.005683094
roomfull,20,17,1,1,1,0,.005125573
roomfull,20,18,1,1,1,0,.004743964
roomfull,20,19,1,1,1,0,.007189341
roomfull,20,20,0,0,0,15,.096770332
roomfull,20,21,1,1,1,0,.006225155
roomfull,20,22,1,1,1,0,.005127438
roomfull,20,23,1,1,1,0,.004909616
roomfull,20,24,1,1,1,0,.006962735
roomfull,20,25,1,1,1,1,.005715152
roomfull,20,26,1,1,1,0,.005432864
roomfull,20,27,1,1,1,0,.005057800
roomfull,20,28,1,1,1,0,.005302058
roomfull,20,29,1,1,1,21,.007117929
roomfull,25,0,0,0,1,6,.006645533
roomfull,25,1,0,1,0,19,.010207368
roomfull,25,2,0,1,1,2,.005169991
roomfull,25,3,0,0,0,1,.005814295
roomfull,25,4,1,0,0,2,.005571821
roomfull,25,5,0,0,0,33,.087000622
roomfull,25,6,0,1,1,0,.006248657
roomfull,25,7,0,0,0,4,.006611551
roomfull,25,8,0,0,0,49,.010500784
roomfull,25,9,0,1,1,0,.005919887
roomfull,25,10,1,1,1,0,.006433771
roomfull,25,11,1,1,1,0,.006172675
roomfull,25,12,1,1,1,1,.005616223
roomfull,25,13,0,1,1,2,.006123038
roomfull,25,14,1,1,1,0,.007625871
roomfull,25,15,1,1,1,1,.005875580
roomfull,25,16,0,1,1,2,.005906452
roomfull,25,17,0,0,0,1,.006861533
roomfull,25,18,1,0,1,1,.006675737
roomfull,25,19,1,1,1,1,.006516931
roomfull,25,20,0,0,0,38,.011456345
roomfull,25,21,1,1,1,4,.006489975
roomfull,25,22,0,0,0,1,.006532133
roomfull,25,23,1,1,1,0,.006898157
roomfull,25,24,0,0,0,16,.061422955
roomfull,25,25,0,1,1,0,.005896183
roomfull,25,26,1,1,1,0,.005458346
roomfull,25,27,0,0,0,1,.006038527
roomfull,25,28,1,1,1,0,.005437859
roomfull,25,29,0,0,0,26,.117616316
roomfull,30,0,0,0,0,1,.006685021
roomfull,30,1,0,0,0,15,.102106612
roomfull,30,2,0,0,0,27,.012317819
roomfull,30,3,0,1,1,1,.006643783
roomfull,30,4,1,0,0,1,.006462063
roomfull,30,5,0,0,0,0,.004913623
roomfull,30,6,0,0,0,2,.007350607
roomfull,30,7,0,0,0,24,.074410277
roomfull,30,8,0,0,0,27,.053293602
roomfull,30,9,0,0,0,32,.093085691
roomfull,30,10,0,0,0,26,.011049630
roomfull,30,11,0,1,1,7,.005994095
roomfull,30,12,0,0,0,1,.006335215
roomfull,30,13,0,0,0,2,.008322049
roomfull,30,14,0,1,1,8,.007666373
roomfull,30,15,0,0,0,2,.004910336
roomfull,30,16,0,0,0,27,.010487414
roomfull,30,17,0,0,0,17,.106387074
roomfull,30,18,0,0,0,23,.016915857
roomfull,30,19,0,0,0,14,.076895446
roomfull,30,20,0,0,0,27,.091920394
roomfull,30,21,0,1,1,3,.007043862
roomfull,30,22,0,0,0,3,.007680400
roomfull,30,23,0,0,0,0,.006247435
roomfull,30,24,0,0,0,10,.021455501
roomfull,30,25,0,0,1,6,.007698426
roomfull,30,26,0,0,1,8,.007033117
roomfull,30,27,0,0,0,20,.013974681
roomfull,30,28,0,0,0,7,.100531118
roomfull,30,29,0,0,0,9,.011216859
roomfull,35,0,0,0,0,2,.004988400
roomfull,35,1,0,0,0,9,.061861314
roomfull,35,2,0,0,0,11,.040465475
roomfull,35,3,0,0,0,1,.008971981
roomfull,35,4,0,0,0,3,.050007666
roomfull,35,5,0,0,0,3,.007082247
roomfull,35,6,0,0,0,13,.100286661
roomfull,35,7,0,0,0,3,.048822113
roomfull,35,8,0,0,0,12,.029557069
roomfull,35,9,0,0,0,1,.006157729
roomfull,35,10,0,0,0,1,.004259340
roomfull,35,11,0,0,0,1,.004730706
roomfull,35,12,0,0,0,2,.006955041
roomfull,35,13,0,0,0,7,.059317979
roomfull,35,14,0,0,0,1,.007583275
roomfull,35,15,0,0,0,1,.008661647
roomfull,35,16,0,0,0,2,.051485308
roomfull,35,17,0,0,0,10,.063347628
roomfull,35,18,0,0,0,4,.063277850
roomfull,35,19,0,0,0,2,.068780062
roomfull,35,20,0,0,0,7,.041531313
roomfull,35,21,0,0,0,3,.084393957
roomfull,35,22,0,0,0,2,.020970548
roomfull,35,23,0,0,0,1,.004235328
roomfull,35,24,0,0,0,2,.068417811
roomfull,35,25,0,0,0,2,.007802963
roomfull,35,26,0,0,0,10,.043463101
roomfull,35,27,0,0,0,3,.058268296
roomfull,35,28,0,0,0,2,.068502983
roomfull,35,29,0,0,0,2,.014896034
roomfull,40,0,0,0,0,0,.004097859
roomfull,40,1,0,0,0,0,.003839239
roomfull,40,2,0,0,0,0,.003544858
roomfull,40,3,0,0,0,0,.003730311
roomfull,40,4,0,0,0,0,.003488271
roomfull,40,5,0,0,0,0,.003629507
roomfull,40,6,0,0,0,0,.004588540
roomfull,40,7,0,0,0,0,.005424859
roomfull,40,8,0,0,0,0,.003365572
roomfull,40,9,0,0,0,0,.003414189
roomfull,40,10,0,0,0,0,.003310598
roomfull,40,11,0,0,0,0,.003931463
roomfull,40,12,0,0,0,0,.003874098
roomfull,40,13,0,0,0,0,.004011599
roomfull,40,14,0,0,0,0,.004018897
roomfull,40,15,0,0,0,0,.006912761
roomfull,40,16,0,0,0,0,.004433012
roomfull,40,17,0,0,0,0,.003262752
roomfull,40,18,0,0,0,0,.003291250
roomfull,40,19,0,0,0,0,.003278338
roomfull,40,20,0,0,0,0,.003331388
roomfull,40,21,0,0,0,0,.003722135
roomfull,40,22,0,0,0,0,.003262269
roomfull,40,23,0,0,0,0,.003539682
roomfull,40,24,0,0,0,0,.004286115
roomfull,40,25,0,0,0,0,.004611682
roomfull,40,26,0,0,0,0,.003313683
roomfull,40,27,0,0,0,0,.003310170
roomfull,40,28,0,0,0,0,.003511975
roomfull,40,29,0,0,0,0,.003408569
flow,15,0,1,1,1,0,.004164937
flow,15,1,1,1,1,0,.004343794
flow,15,2,1,1,1,0,.004770461
flow,15,3,1,1,1,0,.004500788
flow,15,4,1,1,1,0,.004278470
flow,15,5,1,1,1,0,.004877216
flow,15,6,1,1,1,0,.005912639
flow,15,7,1,1,1,0,.005257638
flow,15,8,1,1,1,0,.005605133
flow,15,9,1,1,1,0,.004616266
flow,15,10,1,1,1,0,.004605044
flow,15,11,1,1,1,0,.005096680
flow,15,12,1,1,1,0,.004481299
flow,15,13,1,1,1,0,.004588901
flow,15,14,1,1,1,0,.004574733
flow,15,15,1,1,1,0,.004220999
